student_id,study_hours,prev_mean_grade,helb_status,sleep_hours,revision_intensity,target_mean_score
STU-0102,5,70,t,9,6,61
STU-0103,3,51,f,7,6,34
STU-0104,1,99,f,6,9,76
STU-0105,5,70,f,8,6,57
STU-0106,7,53,f,5,9,45
STU-0107,7,90,t,4,1,76
STU-0108,9,83,t,8,7,83
STU-0109,3,71,t,5,0,50
STU-0110,7,89,f,8,1,81
STU-0111,1,92,f,4,6,66
STU-0112,4,56,t,8,3,38
STU-0113,4,74,f,8,9,56
STU-0114,5,40,f,4,9,25
STU-0115,7,68,f,4,8,56
STU-0116,7,90,t,4,8,82
STU-0117,4,43,t,7,2,23
STU-0118,7,62,t,9,2,56
STU-0119,3,67,f,9,8,46
STU-0120,6,55,t,4,9,43
STU-0121,2,51,t,9,7,30
STU-0122,9,92,t,8,0,92
STU-0123,5,60,f,4,5,45
STU-0124,6,84,f,5,6,70
STU-0125,4,56,f,4,7,36
STU-0126,7,79,f,4,1,71
STU-0127,9,52,f,9,0,49
STU-0128,7,91,t,6,3,82
STU-0129,1,97,t,8,0,71
STU-0130,1,71,f,9,1,43
STU-0131,9,76,f,8,2,77
STU-0132,9,89,t,5,3,86
STU-0133,4,54,f,7,5,34
STU-0134,9,51,f,6,7,49
STU-0135,3,88,f,5,8,69
STU-0136,7,96,f,5,3,84
STU-0137,6,54,f,8,0,41
STU-0138,8,73,t,6,4,68
STU-0139,9,45,t,8,4,44
STU-0140,5,56,f,7,8,41
STU-0141,1,87,f,8,5,58
STU-0142,3,88,t,4,4,68
STU-0143,8,96,f,8,9,94
STU-0144,6,59,t,4,9,47
STU-0145,8,48,f,5,4,40
STU-0146,9,98,t,7,7,100
STU-0147,4,44,t,9,0,23
STU-0148,1,62,f,4,4,36
STU-0149,1,72,f,7,0,47
STU-0150,4,77,t,8,6,60
STU-0151,7,95,f,9,6,83
STU-0152,2,53,t,8,9,33
STU-0153,3,56,f,5,7,36
STU-0154,1,96,f,8,6,74
STU-0155,5,58,f,4,8,42
STU-0156,1,72,t,5,7,47
STU-0157,8,40,t,7,7,31
STU-0158,1,52,f,5,2,26
STU-0159,1,85,t,7,9,58
STU-0160,2,66,f,6,3,42
STU-0161,2,45,t,4,3,18
STU-0162,6,98,f,4,0,85
STU-0163,7,45,t,7,5,36
STU-0164,5,72,t,8,1,58
STU-0165,1,69,t,9,8,45
STU-0166,1,85,t,8,0,60
STU-0167,3,74,t,6,0,56
STU-0168,2,62,t,7,9,42
STU-0169,5,49,f,6,5,33
STU-0170,6,90,f,7,0,77
STU-0171,7,58,t,6,2,51
STU-0172,4,90,f,7,9,72
STU-0173,7,67,t,4,1,57
STU-0174,8,62,f,6,8,53
STU-0175,1,43,f,6,4,16
STU-0176,6,59,f,7,5,45
STU-0177,8,58,f,5,1,49
STU-0178,5,81,t,5,7,67
STU-0179,4,66,f,4,5,49
STU-0180,2,96,f,8,7,73
STU-0181,6,73,f,8,7,65
STU-0182,6,43,t,4,0,27
STU-0183,1,95,f,8,6,72
STU-0184,9,77,t,9,1,74
STU-0185,6,46,t,9,7,38
STU-0186,3,87,f,9,1,67
STU-0187,4,46,t,9,3,28
STU-0188,4,89,f,7,1,73
STU-0189,3,91,f,5,6,72
STU-0190,3,65,f,4,4,42
STU-0191,3,65,f,7,8,47
STU-0192,4,93,f,9,4,77
STU-0193,7,58,f,4,7,49
STU-0194,4,48,f,5,1,30
STU-0195,9,59,t,8,2,54
STU-0196,1,81,t,7,5,56
STU-0197,8,84,f,5,6,75
STU-0198,7,89,f,4,9,78
STU-0199,2,55,t,6,7,32
STU-0200,8,93,f,7,2,89
STU-0201,1,56,t,4,6,29
STU-0202,9,61,t,4,7,57
STU-0203,9,52,f,5,9,48
STU-0204,2,51,f,4,5,27
STU-0205,7,49,t,7,3,38
STU-0206,3,40,t,9,5,18
STU-0207,7,71,f,7,8,66
STU-0208,9,69,f,4,2,65
STU-0209,4,47,t,5,1,27
STU-0210,1,60,t,7,4,33
STU-0211,2,61,t,6,6,37
STU-0212,1,57,f,9,2,29
STU-0213,5,41,f,8,4,26
STU-0214,5,87,f,5,3,72
STU-0215,7,83,t,5,6,77
STU-0216,9,48,t,8,1,45
STU-0217,9,42,f,8,6,41
STU-0218,3,93,t,7,1,73
STU-0219,3,65,t,4,2,43
STU-0220,3,60,t,4,4,39
STU-0221,4,69,t,6,6,54
STU-0222,8,67,t,9,5,62
STU-0223,6,75,f,4,6,63
STU-0224,8,65,f,6,5,59
STU-0225,1,73,f,6,0,46
STU-0226,8,47,f,5,4,42
STU-0227,4,49,f,5,0,30
STU-0228,1,87,t,9,6,63
STU-0229,8,94,t,7,3,89
STU-0230,4,82,t,8,4,62
STU-0231,6,89,f,8,0,77
STU-0232,8,93,t,9,7,88
STU-0233,4,53,t,6,3,35
STU-0234,3,79,t,9,2,60
STU-0235,9,94,f,8,0,92
STU-0236,3,54,t,6,3,38
STU-0237,9,56,t,8,2,56
STU-0238,2,92,f,7,7,70
STU-0239,2,57,f,5,8,35
STU-0240,2,71,t,5,4,47
STU-0241,6,77,f,6,8,66
STU-0242,3,62,t,9,0,43
STU-0243,9,85,f,8,6,81
STU-0244,4,62,t,4,6,43
STU-0245,1,74,t,7,5,46
STU-0246,4,78,f,8,3,61
STU-0247,1,54,f,4,8,27
STU-0248,5,92,f,7,2,77
STU-0249,4,63,f,7,0,43
STU-0250,8,67,t,5,1,60
STU-0251,8,55,f,6,2,48
STU-0252,7,55,t,8,1,47
STU-0253,3,79,t,7,5,60
STU-0254,1,78,t,8,6,53
STU-0255,1,45,f,7,4,19
STU-0256,3,41,t,9,4,23
STU-0257,6,93,t,5,6,81
STU-0258,7,52,f,6,5,41
STU-0259,6,83,t,4,7,71
STU-0260,6,86,t,4,8,75
STU-0261,6,98,t,9,1,89
STU-0262,3,48,f,5,1,28
STU-0263,6,73,t,7,0,60
STU-0264,8,56,t,5,6,54
STU-0265,2,66,t,6,3,41
STU-0266,5,68,f,4,8,52
STU-0267,1,76,f,8,5,53
STU-0268,1,82,f,4,6,52
STU-0269,5,61,t,6,6,47
STU-0270,3,90,t,7,7,71
STU-0271,4,63,t,5,3,42
STU-0272,3,46,t,4,2,21
STU-0273,1,73,t,4,2,48
STU-0274,1,87,f,8,9,64
STU-0275,5,51,t,5,7,38
STU-0276,6,62,t,8,2,49
STU-0277,3,54,f,8,7,35
STU-0278,9,72,f,7,1,73
STU-0279,5,96,t,4,4,81
STU-0280,8,52,f,9,4,47
STU-0281,1,62,f,5,6,36
STU-0282,5,77,f,7,4,63
STU-0283,3,71,t,9,8,52
STU-0284,1,84,f,7,2,58
STU-0285,4,89,t,7,8,77
STU-0286,5,74,f,6,0,58
STU-0287,7,40,t,6,2,33
STU-0288,1,86,t,7,3,67
STU-0289,3,97,t,6,5,76
STU-0290,2,84,f,5,9,62
STU-0291,9,44,f,4,7,37
STU-0292,6,96,f,9,6,86
STU-0293,3,52,t,5,7,37
STU-0294,8,93,f,4,5,88
STU-0295,8,44,f,6,5,38
STU-0296,2,99,t,9,5,76
STU-0297,6,71,f,5,2,57
STU-0298,7,90,t,8,9,82
STU-0299,2,60,f,7,3,35
STU-0300,2,63,t,4,5,41
STU-0301,1,99,t,4,6,75
STU-0302,8,57,f,8,2,51
STU-0303,1,60,t,8,3,34
STU-0304,9,93,f,7,5,92
STU-0305,6,49,f,6,0,39
STU-0306,7,63,f,5,6,56
STU-0307,7,79,f,5,0,69
STU-0308,3,86,t,5,9,69
STU-0309,2,60,t,6,8,40
STU-0310,9,64,t,7,9,63
STU-0311,8,91,f,5,8,86
STU-0312,7,99,f,4,8,89
STU-0313,9,96,t,4,3,94
STU-0314,4,98,t,4,1,79
STU-0315,4,62,f,8,6,44
STU-0316,1,61,f,8,3,33
STU-0317,8,43,f,6,4,36
STU-0318,3,73,t,5,0,50
STU-0319,7,95,f,8,9,94
STU-0320,2,45,t,4,5,22
STU-0321,2,67,f,8,6,44
STU-0322,7,70,t,4,2,60
STU-0323,6,74,f,5,9,64
STU-0324,3,78,t,6,1,58
STU-0325,9,81,t,7,9,78
STU-0326,6,62,t,7,6,51
STU-0327,6,45,f,4,0,30
STU-0328,1,55,t,8,1,29
STU-0329,4,41,t,8,2,22
STU-0330,6,63,f,4,3,51
STU-0331,6,56,t,5,4,45
STU-0332,5,84,t,4,3,70
STU-0333,1,40,f,5,9,10
STU-0334,8,45,t,6,2,38
STU-0335,5,44,f,6,0,30
STU-0336,5,96,t,4,6,82
STU-0337,7,84,f,6,9,74
STU-0338,4,99,t,8,5,87
STU-0339,6,94,t,5,1,77
STU-0340,4,89,t,7,1,72
STU-0341,3,68,f,7,2,51
STU-0342,7,51,t,6,7,40
STU-0343,8,78,t,5,7,72
STU-0344,4,86,f,8,9,68
STU-0345,2,42,f,7,9,22
STU-0346,3,87,f,8,9,67
STU-0347,1,40,t,8,9,18
STU-0348,8,66,t,7,7,64
STU-0349,3,87,t,7,6,66
STU-0350,7,63,f,6,1,50
STU-0351,5,83,f,5,0,68
STU-0352,5,58,t,4,5,44
STU-0353,7,98,t,5,7,90
STU-0354,9,47,f,4,0,41
STU-0355,5,94,f,7,2,83
STU-0356,1,83,f,8,0,57
STU-0357,1,86,t,5,9,64
STU-0358,2,41,f,8,8,18
STU-0359,6,69,f,5,6,62
STU-0360,9,69,f,9,7,66
STU-0361,8,88,f,5,8,85
STU-0362,5,78,t,8,2,62
STU-0363,1,84,f,9,9,62
STU-0364,7,71,t,6,1,62
STU-0365,5,40,t,7,5,26
STU-0366,6,77,f,6,4,66
STU-0367,7,52,f,6,3,43
STU-0368,3,50,t,5,5,30
STU-0369,3,49,f,7,5,25
STU-0370,5,87,t,9,2,77
STU-0371,6,98,f,5,1,88
STU-0372,9,65,t,4,8,62
STU-0373,5,95,t,5,7,82
STU-0374,1,94,t,9,3,73
STU-0375,4,59,f,8,5,44
STU-0376,5,56,t,5,2,40
STU-0377,5,56,t,4,7,39
STU-0378,7,43,f,5,2,34
STU-0379,4,44,f,9,1,27
STU-0380,1,99,t,4,6,73
STU-0381,5,62,t,7,2,46
STU-0382,7,85,f,9,8,78
STU-0383,6,91,t,5,2,80
STU-0384,5,49,f,4,7,33
STU-0385,4,85,f,9,1,68
STU-0386,2,67,f,7,8,45
STU-0387,4,72,t,8,0,56
STU-0388,3,82,f,6,2,58
STU-0389,1,65,t,4,1,37
STU-0390,8,94,t,8,6,88
STU-0391,5,89,f,7,4,75
STU-0392,4,87,f,8,7,70
STU-0393,8,68,f,5,1,62
STU-0394,7,66,f,6,7,57
STU-0395,2,57,t,4,6,32
STU-0396,1,79,t,9,4,53
STU-0397,4,99,f,7,1,82
STU-0398,8,49,t,6,9,41
STU-0399,2,97,f,7,6,75
STU-0400,3,81,t,8,9,63
STU-0401,1,44,t,7,3,17
STU-0402,1,49,t,7,3,24
STU-0403,3,89,f,8,7,69
STU-0404,5,60,t,8,5,47
STU-0405,3,63,t,6,8,43
STU-0406,1,77,t,4,1,48
STU-0407,1,42,t,8,4,17
STU-0408,8,79,f,6,5,75
STU-0409,2,70,t,7,7,54
STU-0410,3,80,f,7,3,59
STU-0411,2,76,f,9,6,56
STU-0412,3,41,t,5,6,20
STU-0413,7,41,t,8,3,34
STU-0414,1,78,f,6,0,54
STU-0415,8,88,f,9,2,83
STU-0416,2,81,f,6,1,59
STU-0417,3,83,t,4,2,63
STU-0418,9,73,t,9,4,72
STU-0419,7,81,f,6,0,70
STU-0420,4,59,f,8,4,41
STU-0421,5,72,f,6,1,54
STU-0422,2,43,t,5,3,21
STU-0423,8,84,t,7,5,83
STU-0424,4,83,f,7,8,64
STU-0425,9,50,t,9,9,51
STU-0426,5,81,f,6,5,66
STU-0427,9,86,t,6,9,83
STU-0428,4,44,f,6,1,26
STU-0429,5,64,t,6,7,49
STU-0430,9,88,t,5,4,85
STU-0431,8,99,t,8,8,95
STU-0432,3,76,t,5,9,56
STU-0433,1,73,t,5,8,50
STU-0434,3,48,t,5,3,23
STU-0435,4,45,t,7,0,26
STU-0436,2,57,f,5,8,30
STU-0437,1,53,f,6,8,28
STU-0438,7,58,f,5,7,48
STU-0439,8,53,t,6,4,46
STU-0440,7,79,t,9,4,73
STU-0441,5,56,t,8,9,45
STU-0442,1,99,f,7,5,76
STU-0443,7,74,f,8,0,71
STU-0444,7,68,f,9,8,60
STU-0445,9,81,f,8,4,77
STU-0446,3,56,f,7,6,36
STU-0447,9,98,f,6,7,96
STU-0448,1,82,t,9,4,62
STU-0449,1,47,f,9,2,22
STU-0450,4,40,t,6,5,21
STU-0451,9,84,f,6,6,79
STU-0452,6,92,f,7,3,82
STU-0453,3,75,t,5,8,55
STU-0454,1,46,t,4,3,22
STU-0455,4,85,t,5,9,70
STU-0456,9,44,f,5,1,37
STU-0457,3,63,f,8,8,42
STU-0458,9,67,t,4,3,64
STU-0459,7,82,f,6,3,72
STU-0460,4,56,t,5,9,42
STU-0461,3,76,f,7,0,56
STU-0462,5,59,f,5,1,43
STU-0463,5,42,f,6,2,24
STU-0464,3,76,t,5,6,55
STU-0465,9,65,f,9,8,64
STU-0466,4,54,t,8,4,34
STU-0467,5,90,t,8,3,78
STU-0468,4,87,t,5,1,71
STU-0469,5,47,t,8,6,33
STU-0470,7,52,t,7,5,46
STU-0471,9,87,t,4,6,86
STU-0472,7,42,t,5,7,34
STU-0473,5,40,t,7,8,26
STU-0474,7,48,t,9,9,44
STU-0475,5,70,f,7,4,53
STU-0476,3,80,t,7,4,61
STU-0477,7,93,f,9,3,84
STU-0478,2,65,t,6,2,40
STU-0479,9,56,f,5,6,53
STU-0480,1,95,f,5,4,67
STU-0481,6,73,f,5,6,58
STU-0482,7,48,f,4,1,41
STU-0483,8,95,f,7,8,89
STU-0484,9,90,f,5,8,85
STU-0485,2,52,t,8,8,33
STU-0486,2,44,t,6,4,20
STU-0487,5,80,t,9,9,66
STU-0488,5,52,t,9,8,38
STU-0489,6,40,t,4,0,25
STU-0490,3,64,t,9,1,43
STU-0491,8,86,f,6,9,79
STU-0492,1,43,t,7,4,16
STU-0493,6,75,f,9,4,67
STU-0494,4,91,f,9,5,80
STU-0495,1,49,f,8,7,26
STU-0496,7,67,f,7,0,57
STU-0497,9,96,f,5,9,91
STU-0498,4,45,f,6,8,29
STU-0499,4,66,t,9,3,48
STU-0500,6,95,f,8,7,84
STU-0501,3,51,f,6,4,33
STU-0502,6,91,t,4,0,82
STU-0503,7,87,t,8,8,81
STU-0504,3,42,t,4,7,24
STU-0505,7,85,t,9,4,81
STU-0506,3,72,t,8,3,54
STU-0507,2,49,t,5,7,25
STU-0508,4,70,t,6,8,53
STU-0509,8,54,f,6,6,48
STU-0510,9,46,t,7,3,40
STU-0511,7,75,f,8,6,66
STU-0512,1,53,t,8,5,29
STU-0513,3,95,t,4,2,73
STU-0514,9,87,f,8,9,89
STU-0515,1,53,t,6,2,27
STU-0516,9,42,t,8,0,40
STU-0517,8,88,t,7,4,83
STU-0518,1,92,t,7,7,69
STU-0519,6,85,t,6,5,72
STU-0520,5,89,t,6,7,77
STU-0521,6,42,t,6,6,32
STU-0522,5,61,f,8,1,49
STU-0523,6,58,t,8,7,44
STU-0524,5,74,f,5,3,57
STU-0525,5,51,f,9,4,34
STU-0526,4,93,f,9,7,76
STU-0527,3,44,f,4,4,22
STU-0528,3,49,f,8,4,30
STU-0529,4,80,f,5,5,67
STU-0530,9,72,f,5,6,71
STU-0531,2,52,t,7,8,29
STU-0532,9,74,t,8,6,74
STU-0533,1,90,t,5,5,67
STU-0534,1,71,f,7,9,46
STU-0535,5,50,t,4,3,34
STU-0536,6,87,f,7,9,76
STU-0537,6,77,f,4,1,64
STU-0538,3,63,t,9,8,46
STU-0539,7,74,f,9,9,68
STU-0540,9,58,f,6,4,58
STU-0541,8,45,t,6,4,41
STU-0542,6,79,f,7,2,64
STU-0543,8,93,t,6,2,84
STU-0544,5,84,f,8,0,70
STU-0545,8,83,f,7,4,77
STU-0546,4,81,t,5,2,60
STU-0547,8,74,t,8,1,65
STU-0548,2,43,t,7,8,21
STU-0549,5,72,f,9,9,60
STU-0550,9,52,f,4,5,48
STU-0551,4,95,t,6,2,77
STU-0552,6,75,t,6,6,63
STU-0553,1,93,t,6,8,68
STU-0554,9,82,f,7,8,81
STU-0555,1,58,f,8,0,29
STU-0556,5,82,t,4,1,66
STU-0557,4,51,t,6,7,36
STU-0558,3,50,t,8,0,29
STU-0559,6,45,f,5,2,32
STU-0560,2,51,t,9,6,31
STU-0561,3,66,t,5,7,45
STU-0562,5,80,t,4,4,65
STU-0563,9,64,f,6,1,57
STU-0564,2,81,f,5,2,58
STU-0565,8,42,t,9,8,38
STU-0566,2,42,f,8,9,22
STU-0567,5,59,t,8,6,48
STU-0568,7,67,t,5,0,59
STU-0569,8,62,t,6,2,58
STU-0570,1,87,t,9,8,62
STU-0571,6,42,f,4,6,30
STU-0572,1,81,t,6,1,56
STU-0573,2,63,t,7,5,40
STU-0574,1,82,f,5,8,59
STU-0575,5,79,t,7,3,65
STU-0576,9,45,f,5,9,43
STU-0577,6,59,t,4,1,48
STU-0578,1,50,t,6,2,24
STU-0579,1,71,t,9,6,51
STU-0580,2,99,t,6,3,81
STU-0581,9,66,f,5,6,62
STU-0582,3,60,t,8,4,43
STU-0583,1,83,f,7,7,63
STU-0584,5,87,f,9,7,73
STU-0585,7,89,f,9,4,76
STU-0586,6,52,t,6,6,43
STU-0587,1,61,f,6,5,34
STU-0588,5,74,f,5,7,57
STU-0589,5,86,f,8,8,72
STU-0590,6,61,t,7,4,47
STU-0591,3,67,t,8,6,52
STU-0592,5,60,f,9,0,49
STU-0593,7,85,f,8,7,77
STU-0594,5,57,t,5,2,41
STU-0595,5,70,f,8,0,56
STU-0596,5,99,f,7,5,89
STU-0597,3,85,f,9,7,65
STU-0598,1,76,t,4,2,49
STU-0599,5,60,f,9,0,48
STU-0600,9,53,f,4,2,47
STU-0601,1,64,t,7,4,37
STU-0602,3,66,f,9,7,48
STU-0603,4,79,t,9,8,61
STU-0604,1,99,t,9,8,77
STU-0605,1,99,t,9,3,75
STU-0606,8,62,f,5,7,57
STU-0607,2,70,f,6,4,45
STU-0608,8,86,f,9,2,82
STU-0609,7,99,f,5,4,90
STU-0610,2,68,f,7,1,42
STU-0611,6,86,f,9,5,74
STU-0612,6,69,f,8,0,60
STU-0613,3,90,f,9,5,73
STU-0614,2,65,t,9,4,40
STU-0615,1,59,f,4,8,32
STU-0616,6,77,f,8,6,67
STU-0617,5,58,t,9,5,46
STU-0618,9,66,f,9,6,65
STU-0619,1,64,t,9,9,42
STU-0620,7,79,f,5,4,69
STU-0621,5,77,f,7,0,62
STU-0622,5,91,t,4,8,75
STU-0623,2,62,t,9,4,40
STU-0624,3,68,f,7,3,43
STU-0625,7,54,t,4,5,42
STU-0626,6,98,f,4,4,84
STU-0627,2,42,f,4,0,15
STU-0628,6,49,f,9,1,39
STU-0629,2,54,f,5,3,26
STU-0630,2,95,f,9,7,73
STU-0631,2,55,f,9,4,34
STU-0632,3,56,t,7,6,34
STU-0633,2,58,t,6,1,37
STU-0634,4,50,t,6,7,34
STU-0635,9,87,f,6,4,85
STU-0636,6,44,t,7,3,31
STU-0637,1,44,f,8,8,18
STU-0638,8,97,t,7,5,92
STU-0639,7,53,f,4,3,44
STU-0640,3,89,f,9,7,72
STU-0641,1,65,f,8,2,40
STU-0642,5,47,f,4,9,31
STU-0643,4,44,f,9,1,25
STU-0644,8,46,t,9,6,44
STU-0645,1,55,f,4,3,27
STU-0646,1,94,t,7,3,66
STU-0647,4,53,f,6,9,34
STU-0648,8,76,f,8,8,70
STU-0649,5,95,f,9,1,81
STU-0650,2,80,t,5,0,56
STU-0651,6,43,f,9,6,30
STU-0652,5,75,t,6,7,60
STU-0653,2,87,f,9,2,64
STU-0654,3,95,t,5,1,74
STU-0655,9,56,t,7,3,52
STU-0656,7,86,t,9,1,84
STU-0657,7,75,f,8,1,66
STU-0658,6,45,f,7,4,32
STU-0659,8,55,t,5,9,47
STU-0660,4,68,f,4,4,51
STU-0661,8,75,f,9,7,67
STU-0662,4,77,f,7,8,57
STU-0663,8,76,t,9,1,71
STU-0664,9,87,t,8,0,86
STU-0665,3,96,f,9,2,77
STU-0666,3,87,t,7,5,72
STU-0667,2,49,f,6,4,24
STU-0668,3,80,f,7,7,60
STU-0669,3,75,t,5,7,55
STU-0670,5,68,t,7,1,54
STU-0671,5,53,f,8,8,39
STU-0672,2,43,f,7,3,19
STU-0673,6,83,f,7,0,68
STU-0674,5,95,t,8,1,83
STU-0675,6,81,t,7,5,72
STU-0676,1,75,f,8,4,49
STU-0677,5,89,f,5,6,74
STU-0678,9,84,t,8,8,86
STU-0679,2,52,f,5,5,26
STU-0680,1,85,t,5,5,60
STU-0681,9,57,t,8,1,54
STU-0682,9,72,f,7,6,73
STU-0683,9,60,f,9,1,61
STU-0684,6,55,t,6,6,45
STU-0685,8,54,f,9,7,57
STU-0686,1,93,t,8,0,68
STU-0687,4,96,t,7,8,72
STU-0688,1,44,t,5,7,17
STU-0689,8,45,f,4,8,37
STU-0690,1,77,f,6,4,54
STU-0691,3,42,f,9,3,22
STU-0692,4,87,t,7,0,73
STU-0693,8,51,t,6,8,47
STU-0694,6,75,t,4,3,63
STU-0695,7,72,t,4,3,63
STU-0696,8,75,f,4,3,68
STU-0697,2,72,f,9,1,52
STU-0698,8,70,f,8,3,64
STU-0699,3,60,t,6,1,38
STU-0700,7,66,t,8,7,60
STU-0701,3,66,f,4,6,45
STU-0702,7,47,t,7,9,39
STU-0703,2,95,f,4,1,75
STU-0704,6,76,t,8,1,67
STU-0705,3,71,t,4,1,48
STU-0706,3,65,t,4,0,44
STU-0707,9,41,t,8,5,37
STU-0708,7,51,t,8,5,41
STU-0709,5,61,f,7,0,47
STU-0710,7,56,f,8,0,45
STU-0711,9,46,f,7,5,43
STU-0712,1,82,t,5,5,54
STU-0713,7,43,f,5,3,32
STU-0714,6,76,f,8,2,64
STU-0715,9,77,t,4,8,74
STU-0716,1,71,t,6,5,50
STU-0717,4,50,f,4,0,33
STU-0718,9,40,f,8,2,36
STU-0719,4,64,f,7,0,45
STU-0720,3,81,f,4,2,58
STU-0721,9,91,f,5,1,85
STU-0722,2,63,t,9,4,41
STU-0723,4,92,f,8,2,78
STU-0724,6,82,f,4,6,63
STU-0725,2,95,f,9,7,76
STU-0726,8,56,f,4,6,51
STU-0727,8,47,f,7,1,36
STU-0728,1,98,f,7,9,74
STU-0729,3,84,t,7,9,65
STU-0730,9,66,t,9,6,65
STU-0731,5,91,t,6,9,79
STU-0732,6,57,f,9,2,46
STU-0733,4,66,f,8,6,47
STU-0734,2,61,t,8,0,42
STU-0735,8,55,f,5,1,46
STU-0736,6,41,f,5,9,34
STU-0737,5,44,f,8,0,27
STU-0738,9,57,t,4,8,52
STU-0739,1,42,t,8,1,17
STU-0740,5,66,t,6,1,53
STU-0741,6,93,f,5,5,84
STU-0742,5,56,t,5,6,39
STU-0743,6,55,t,9,1,44
STU-0744,6,45,t,5,3,36
STU-0745,7,90,f,8,2,81
STU-0746,4,46,t,5,4,30
STU-0747,8,89,t,5,8,80
STU-0748,7,53,f,9,1,41
STU-0749,9,77,t,8,4,77
STU-0750,7,79,f,4,7,69
STU-0751,3,54,f,5,5,34
STU-0752,3,86,t,5,3,64
STU-0753,8,86,t,5,9,78
STU-0754,5,87,t,6,7,74
STU-0755,4,72,f,8,2,52
STU-0756,8,82,t,5,3,76
STU-0757,6,66,t,6,8,53
STU-0758,2,68,t,4,4,46
STU-0759,4,96,f,4,5,77
STU-0760,4,76,f,9,1,59
STU-0761,6,44,f,9,8,35
STU-0762,6,68,t,9,7,61
STU-0763,1,71,t,6,6,46
STU-0764,8,99,f,4,8,97
STU-0765,6,92,t,9,4,86
STU-0766,3,45,t,7,4,24
STU-0767,9,41,f,9,8,37
STU-0768,2,45,f,4,4,18
STU-0769,8,85,f,7,8,84
STU-0770,3,82,t,6,0,59
STU-0771,5,43,t,7,9,29
STU-0772,6,95,t,4,9,84
