attendance_rate,cat_score,prev_mean_grade,helb_status,final_score
93.61,57.52,56.6,0,62.63
71.13,75.64,51.51,1,77.12
58.96,71.93,73.75,0,59.38
86.32,75.33,67.6,1,73.77
79.7,20.0,83.13,1,51.3
62.42,86.0,66.91,0,63.5
45.67,69.55,54.44,1,43.41
84.81,96.92,69.1,0,83.73
55.75,48.27,22.35,1,39.17
96.21,33.55,95.87,1,70.04
54.46,60.11,62.94,1,64.41
47.37,55.87,97.32,1,61.62
89.87,69.8,42.35,0,65.85
49.2,76.12,37.88,0,51.95
50.76,58.69,64.58,0,63.3
75.96,56.39,64.53,1,60.27
92.47,67.84,64.09,0,72.56
51.79,56.16,61.34,0,54.1
58.62,54.9,46.69,1,54.44
86.64,75.56,31.26,1,59.21
98.31,78.9,63.1,0,73.86
70.04,76.26,34.91,1,60.77
48.63,57.48,33.21,1,47.18
40.84,27.9,51.15,0,26.04
53.78,57.78,65.75,1,51.08
47.91,48.63,93.78,1,56.07
80.66,58.05,75.63,1,65.39
47.31,49.93,83.8,1,52.88
70.38,59.69,69.77,0,66.35
81.66,44.41,64.6,1,61.77
74.87,40.79,100.0,1,67.99
51.99,78.34,34.19,1,57.9
88.25,45.46,50.56,0,60.39
82.92,60.0,51.97,1,60.0
84.34,74.32,74.08,1,79.96
47.86,73.71,40.38,1,45.57
47.43,71.92,71.74,0,57.62
95.65,64.54,68.43,0,65.3
63.85,70.86,72.64,0,69.35
58.06,80.6,72.31,1,71.93
69.32,66.38,85.69,0,71.14
79.77,32.44,57.11,1,58.74
97.34,52.07,67.54,1,66.6
57.19,70.45,44.74,0,56.89
95.49,50.59,40.63,1,62.0
41.49,84.3,89.77,0,62.64
73.31,59.05,43.38,0,59.15
78.04,61.28,69.54,0,67.48
46.35,76.87,67.56,1,56.25
48.42,57.26,79.15,1,60.15
65.15,62.64,28.15,0,53.28
97.97,73.49,74.04,1,76.76
75.76,37.92,56.96,0,49.52
95.98,55.72,47.2,0,60.95
88.26,72.44,53.49,1,72.93
68.04,60.98,76.66,1,59.83
87.09,82.01,71.16,1,76.58
41.07,36.36,55.7,1,35.98
46.55,34.65,37.5,1,27.8
89.77,71.55,38.77,0,59.67
87.81,72.99,71.55,0,74.2
53.96,57.1,35.0,1,49.23
71.85,66.01,55.87,1,63.66
76.36,71.18,100.0,0,73.12
92.06,47.79,66.27,0,62.7
76.19,49.4,71.36,0,55.71
64.75,62.85,38.9,1,63.08
62.45,73.56,35.91,0,63.81
65.55,42.51,72.32,1,57.85
79.12,57.03,52.92,1,58.34
92.05,56.34,79.13,1,77.08
67.23,66.27,60.58,0,65.03
54.87,59.87,100.0,0,76.47
54.2,51.81,49.5,0,59.15
84.76,78.73,65.0,0,65.0
88.99,51.91,43.71,1,65.22
46.32,55.62,78.38,1,52.84
43.99,36.13,67.73,0,41.74
75.67,49.3,42.5,1,59.01
48.77,67.74,54.09,1,54.6
89.48,64.81,84.49,1,81.85
58.62,68.99,82.33,0,65.83
48.63,68.26,34.34,0,39.09
95.26,91.32,51.41,0,81.19
49.93,48.78,92.59,1,52.81
57.08,35.71,56.79,0,54.82
49.22,44.24,63.1,1,42.49
46.93,49.45,78.28,1,49.98
41.27,45.39,35.82,0,32.05
43.32,61.4,42.89,0,35.37
50.48,78.79,53.97,0,55.1
43.2,83.09,81.48,1,67.97
75.47,67.56,78.16,1,66.61
80.84,92.12,72.76,0,89.62
63.62,54.65,57.3,0,55.99
59.08,35.51,80.13,1,53.69
70.27,75.8,57.05,1,70.67
92.5,32.42,70.2,0,49.16
91.07,48.67,76.22,1,68.29
42.61,67.8,90.34,0,57.2
50.89,58.46,58.79,0,50.01
54.2,57.14,53.27,0,51.22
54.96,42.29,83.11,1,66.35
74.27,59.84,84.49,1,72.89
64.98,75.05,50.02,1,66.87
42.96,60.3,39.91,0,36.98
62.42,47.55,81.74,0,55.4
71.43,41.29,30.25,0,44.16
46.1,47.86,29.33,0,23.18
90.01,65.89,54.97,1,65.14
43.12,65.15,59.84,1,45.98
95.49,47.99,38.92,0,48.13
45.95,26.84,61.99,0,37.38
90.61,66.3,62.8,0,68.66
94.16,46.53,49.35,1,59.05
98.77,70.34,94.6,0,84.99
88.12,48.66,65.74,1,59.16
86.77,45.18,78.31,0,59.48
78.55,62.3,31.79,0,59.82
86.74,95.37,31.63,0,79.04
48.07,71.24,66.28,0,56.21
72.16,62.04,91.39,1,76.42
70.85,65.38,39.82,0,54.68
91.45,33.73,60.58,0,54.12
67.77,43.16,35.77,0,47.48
63.11,22.34,45.06,0,45.78
78.37,85.95,61.48,1,77.9
55.99,82.91,49.13,1,69.57
48.39,65.89,34.5,0,38.32
68.67,62.03,34.1,0,55.94
65.01,36.73,24.05,1,40.24
53.95,56.71,66.58,1,61.07
62.05,86.89,68.76,1,77.12
61.98,61.97,68.67,0,60.02
59.65,51.53,41.63,0,45.42
62.77,33.63,76.11,0,55.25
81.14,80.7,70.72,0,74.13
57.81,58.95,58.13,1,60.34
96.93,33.65,55.18,1,61.7
94.98,46.14,46.32,0,62.9
68.85,40.84,61.46,1,59.32
59.7,58.02,87.11,0,67.74
72.13,63.11,78.48,0,66.06
90.91,52.45,53.39,1,62.79
79.16,71.66,67.7,0,71.64
88.26,61.18,38.17,1,60.81
71.96,75.93,71.14,1,75.49
77.98,54.64,43.04,0,52.41
57.29,100.0,70.42,0,83.67
84.09,51.53,100.0,0,73.88
52.14,46.45,47.74,1,51.02
81.69,44.61,100.0,0,67.94
91.64,56.84,66.83,1,77.71
47.93,34.21,44.51,0,27.82
76.86,64.42,43.68,1,59.49
45.71,31.42,100.0,0,51.28
83.54,62.43,66.87,1,71.13
45.07,39.73,47.81,1,35.9
96.16,54.28,54.34,0,61.27
48.24,69.07,65.75,0,51.37
97.53,94.56,57.84,1,83.58
88.05,43.83,64.23,1,69.65
75.62,57.75,89.92,1,75.75
86.96,49.14,37.7,0,58.32
87.71,46.95,69.6,1,64.41
96.76,49.28,56.69,0,64.48
55.2,72.36,49.02,1,55.28
75.4,52.68,77.3,1,68.29
45.7,93.74,31.69,1,54.53
76.97,66.24,20.0,1,63.2
50.28,44.85,62.04,0,56.96
73.9,54.5,55.51,1,60.3
74.35,47.97,33.65,0,46.14
67.96,72.0,27.21,0,51.85
71.36,35.42,92.75,1,63.45
85.84,39.89,66.33,1,67.22
87.95,51.13,58.35,1,66.08
69.53,70.24,97.51,1,80.9
75.98,78.5,76.4,1,80.49
95.87,80.71,89.85,1,83.12
47.18,67.95,36.76,1,43.31
47.03,58.76,36.09,0,41.49
45.26,71.92,69.11,1,53.76
79.47,42.83,65.46,1,55.18
65.12,32.33,80.49,1,53.88
86.46,66.55,28.65,1,65.21
80.27,44.91,70.66,1,62.34
60.02,59.02,75.81,1,66.58
93.9,61.79,74.85,1,70.78
85.75,63.72,50.68,1,67.87
56.23,74.07,67.34,1,66.83
61.85,72.48,44.04,1,63.5
58.87,62.93,52.73,1,58.03
49.46,53.37,39.23,1,43.93
48.87,61.62,44.34,1,44.33
96.17,51.06,53.66,1,64.72
66.27,57.05,49.16,0,54.41
63.0,99.27,44.34,1,72.38
83.78,62.73,34.61,1,61.78
73.18,66.75,93.3,1,75.17
96.17,49.42,48.99,1,62.54
86.82,75.3,63.94,1,75.75
68.76,71.4,26.34,1,59.76
62.58,71.51,82.44,0,69.75
99.2,63.22,61.01,1,69.08
83.07,75.51,50.01,0,67.31
97.07,79.08,50.17,1,77.55
47.11,64.25,73.65,0,47.45
91.03,58.28,20.0,1,51.12
78.22,73.42,43.16,1,63.26
47.32,46.44,55.86,0,39.96
75.3,49.23,55.65,1,50.94
81.17,59.2,100.0,1,80.58
40.74,33.88,51.92,1,35.41
67.26,72.41,75.82,1,63.17
89.52,45.56,90.61,1,67.92
57.72,52.93,70.07,0,56.86
67.51,56.8,45.87,1,50.63
66.54,60.59,34.88,1,59.5
58.12,54.85,71.42,1,63.04
95.11,58.99,87.61,0,77.69
86.88,59.11,67.83,1,65.91
46.64,53.29,80.2,0,52.12
99.82,48.4,100.0,1,76.21
92.75,76.22,73.07,0,75.8
57.03,28.43,38.19,0,40.43
90.21,56.91,58.92,0,64.08
46.39,52.97,82.66,1,57.26
99.95,66.28,53.52,1,72.29
79.94,38.19,85.1,1,63.67
79.01,52.5,56.8,0,62.61
45.43,58.46,64.02,1,54.49
93.82,76.05,51.69,0,70.71
41.74,64.98,60.87,0,53.23
54.45,42.25,61.82,1,52.77
48.58,52.69,29.05,1,37.87
86.61,73.29,50.05,1,70.03
51.89,41.99,35.8,0,41.65
94.64,58.82,50.67,1,65.47
79.38,59.86,43.69,0,55.34
42.17,54.21,76.21,1,47.53
40.33,100.0,76.42,0,65.95
43.1,53.81,68.09,1,53.94
76.36,66.75,35.18,0,60.76
88.09,48.51,56.23,0,61.38
54.31,67.92,33.75,0,57.01
90.96,73.06,55.35,1,72.69
43.43,51.18,69.65,0,41.75
88.06,59.18,75.86,1,71.36
95.67,46.57,66.51,0,63.82
86.33,42.83,80.65,0,62.5
81.89,75.55,62.68,1,75.92
90.28,51.69,53.8,0,64.59
42.41,23.8,73.73,1,32.33
52.11,86.48,74.32,1,73.1
47.5,47.97,48.56,1,30.56
70.27,56.3,64.82,1,63.54
84.71,84.61,52.7,0,71.23
77.8,57.87,21.85,0,57.6
91.07,57.55,65.92,0,72.82
49.31,41.58,34.7,1,39.77
84.08,35.48,63.91,0,52.33
51.58,57.5,30.36,0,42.29
56.25,65.44,45.05,1,53.56
82.59,64.58,50.2,1,71.86
98.81,52.78,79.63,1,70.51
76.69,60.3,48.4,0,57.57
43.27,32.44,38.65,1,28.64
76.98,66.9,64.56,1,64.5
42.54,62.42,54.09,1,49.41
93.05,89.6,72.23,0,82.09
82.57,60.11,39.79,0,49.02
50.39,45.86,61.8,0,45.85
45.5,59.24,100.0,1,62.41
51.01,55.08,53.69,0,52.0
98.8,66.52,61.36,0,69.28
67.51,60.4,28.1,0,53.18
87.04,41.1,42.65,1,49.9
78.18,35.46,66.27,0,53.02
74.34,63.94,52.06,0,63.08
48.71,80.75,69.06,1,58.48
96.76,61.19,65.65,1,73.89
58.08,72.2,34.28,1,53.15
74.68,75.19,76.28,1,72.33
81.99,64.0,35.63,0,50.88
78.95,47.78,44.23,0,45.44
96.44,62.93,62.13,0,67.26
48.91,78.11,86.21,0,64.07
70.5,67.95,39.93,0,57.47
64.24,71.22,60.66,1,71.46
68.45,53.06,60.81,0,56.45
47.15,56.96,69.83,1,43.4
48.05,58.22,79.31,0,53.81
56.68,59.23,50.73,1,53.08
58.28,77.52,76.21,1,72.9
65.67,24.79,81.95,0,43.78
76.66,60.46,90.11,0,70.57
78.08,58.81,67.03,1,70.29
64.71,39.43,60.83,1,57.23
64.53,70.08,49.46,0,59.1
53.06,49.13,31.74,0,43.75
75.3,54.64,53.0,1,59.0
59.02,87.73,60.02,1,70.41
42.16,75.15,56.03,1,55.91
65.1,68.62,68.76,0,62.48
68.45,65.71,31.82,1,54.52
53.54,57.53,54.72,1,50.84
74.35,89.99,93.91,1,89.04
73.95,72.03,75.92,1,72.86
82.12,48.76,69.09,0,57.23
78.88,39.0,65.03,0,59.84
79.15,68.5,51.42,1,66.34
58.97,59.16,26.43,1,47.47
87.25,38.57,66.23,1,65.19
72.95,66.43,20.0,1,53.4
65.89,55.96,52.14,0,49.38
77.56,67.96,57.93,0,68.71
61.64,66.63,49.95,1,57.63
70.76,50.88,97.08,0,80.51
84.2,69.49,90.84,1,78.21
93.18,52.53,76.59,0,60.46
95.26,53.51,41.34,0,65.85
70.22,52.02,92.59,0,67.15
71.22,76.96,69.14,1,74.1
87.99,55.79,41.04,0,59.32
58.87,80.59,58.59,1,62.76
90.24,86.75,75.25,0,71.72
69.65,48.92,47.22,1,63.26
46.95,20.0,60.53,1,28.53
44.32,75.67,63.7,1,62.78
90.52,54.87,38.18,1,62.32
43.33,47.01,53.14,1,42.62
56.84,51.17,39.54,1,48.93
60.05,53.78,73.64,0,69.06
50.38,79.46,41.66,0,54.8
58.83,62.4,63.25,1,60.02
84.56,79.25,32.98,1,69.13
40.88,67.41,37.6,1,41.71
89.63,55.36,36.73,1,55.7
91.39,54.14,52.79,0,61.31
62.34,68.42,61.25,0,65.0
49.22,72.31,64.57,1,63.96
76.05,74.95,26.1,1,68.95
47.18,56.08,54.96,1,39.72
61.9,62.63,44.49,1,62.08
97.51,68.76,67.62,0,69.14
99.73,54.24,53.18,0,60.05
86.33,42.98,56.55,0,55.01
58.66,47.91,44.59,0,46.12
81.26,56.38,89.04,1,69.47
82.32,69.93,34.9,1,53.61
63.27,78.88,50.8,1,72.11
78.45,39.66,59.94,1,61.55
40.64,51.04,53.48,0,39.83
52.54,54.63,44.25,1,48.6
71.51,71.92,25.39,0,60.06
49.83,52.08,45.55,0,39.95
49.95,53.55,40.73,1,40.05
90.18,38.82,88.23,0,59.48
99.35,67.25,98.76,0,84.47
73.36,57.58,57.09,1,61.3
90.34,50.19,32.71,1,57.81
99.42,56.11,71.28,0,70.53
48.5,76.9,40.34,1,53.29
66.89,44.93,48.11,0,51.4
63.55,47.38,46.68,1,51.97
44.8,78.78,48.99,1,55.35
85.32,61.14,51.62,1,69.15
66.03,70.05,34.36,1,64.92
68.16,66.03,45.36,0,53.56
49.04,59.47,76.36,0,56.51
50.86,54.78,57.4,1,49.69
94.43,72.47,60.26,0,75.58
42.68,77.44,20.0,0,38.03
53.97,76.26,75.06,1,73.66
57.52,42.22,45.66,0,52.39
69.41,79.57,78.23,1,77.28
75.19,54.63,60.78,1,63.1
69.6,48.67,47.88,1,55.37
45.05,57.46,27.8,1,37.05
54.62,72.47,97.15,1,80.33
90.62,68.11,72.46,1,75.34
78.26,56.17,73.54,1,59.77
78.95,72.56,90.74,1,83.57
80.21,62.1,62.03,1,71.09
85.77,51.41,82.34,1,71.35
43.49,49.38,49.39,1,38.8
62.0,66.15,71.28,1,62.88
72.37,58.76,46.66,1,56.78
60.31,39.37,48.93,1,51.01
90.67,72.71,59.75,0,63.35
68.95,52.8,35.19,0,52.05
86.12,83.88,63.93,0,75.37
91.12,38.96,52.38,1,63.95
70.29,57.29,22.22,0,51.31
94.57,49.5,49.76,0,56.99
75.23,45.37,51.79,0,47.32
91.02,52.7,73.35,1,67.0
60.44,86.56,63.13,0,74.97
69.93,62.15,84.05,1,72.99
71.88,48.12,67.36,1,64.36
46.3,32.57,48.03,1,33.34
63.91,34.18,56.95,1,53.49
95.04,51.95,51.74,0,55.44
77.85,50.49,66.78,1,67.93
50.65,56.64,59.08,1,52.79
60.33,25.92,46.69,0,33.54
51.5,58.62,58.15,0,64.15
41.49,75.42,66.3,1,56.96
95.65,84.34,39.88,1,73.86
66.89,31.58,63.71,1,45.86
58.45,47.98,29.58,1,49.71
75.91,47.19,77.9,1,69.32
40.44,62.19,67.49,1,50.69
56.68,41.7,87.33,0,62.28
82.18,85.23,37.9,0,71.49
78.03,60.65,78.4,0,70.68
98.91,58.15,74.84,0,63.11
77.22,83.89,54.72,0,65.49
68.65,59.76,51.22,1,67.48
85.69,66.0,38.47,1,63.87
94.2,48.74,33.78,0,55.05
83.24,39.44,44.48,1,51.32
97.79,50.84,35.4,1,57.34
86.92,92.8,86.72,0,90.28
92.01,69.5,30.96,0,67.19
46.85,64.12,60.68,1,54.97
83.94,45.35,65.84,1,65.68
66.41,73.67,64.43,1,71.93
73.19,39.63,66.02,0,55.38
79.25,36.49,75.04,1,56.88
98.19,51.62,49.97,1,58.97
99.07,89.32,59.58,0,84.34
57.29,88.47,52.72,1,69.12
84.03,53.23,81.45,1,73.08
85.0,49.89,95.8,0,72.29
60.79,35.39,36.51,1,46.15
47.43,61.17,21.44,0,37.41
42.46,62.43,68.24,1,55.1
86.64,71.84,77.27,1,74.57
69.38,73.66,93.23,0,80.53
99.13,57.04,71.28,1,70.39
67.9,68.34,83.12,0,71.34
98.68,49.49,87.88,0,67.61
64.69,68.06,84.37,0,69.18
87.62,52.39,73.86,1,66.83
45.09,66.89,34.92,1,44.76
73.33,65.68,57.85,0,66.09
88.12,61.03,63.4,1,70.05
95.48,71.92,56.2,1,81.4
89.35,36.44,57.31,1,62.07
42.22,44.03,86.21,0,46.73
62.36,55.95,44.38,0,52.32
42.92,38.35,72.38,0,43.03
46.56,53.9,63.7,0,48.55
80.52,54.38,42.56,1,54.13
82.8,79.65,38.62,1,70.6
86.42,62.14,27.38,1,54.1
91.93,75.44,66.74,0,76.33
84.37,64.53,56.86,1,72.57
88.05,51.96,43.14,1,61.4
42.94,62.01,24.23,1,29.76
54.07,70.94,65.79,0,55.58
77.31,77.9,54.87,0,70.14
91.49,58.02,45.15,0,51.15
40.27,35.29,40.65,0,32.61
70.88,34.23,53.71,1,56.28
80.64,55.1,66.46,1,71.08
41.78,24.93,52.06,0,29.07
64.08,86.93,36.61,1,67.29
93.74,68.95,56.95,1,73.06
80.3,50.46,76.82,1,61.91
54.26,43.36,58.72,1,56.14
91.17,75.42,59.23,1,80.28
60.88,43.3,52.14,1,55.57
91.2,44.73,41.99,0,52.88
57.94,48.51,41.39,1,53.79
75.42,61.71,28.09,0,58.42
63.82,69.31,79.26,1,76.24
56.49,77.89,66.32,1,73.23
93.19,75.67,59.48,0,66.03
51.26,60.01,63.32,0,58.71
45.09,75.31,64.11,0,56.21
60.52,49.94,44.78,1,57.19
83.06,32.69,52.15,0,53.39
88.45,49.93,49.46,1,67.63
99.92,47.91,100.0,0,68.37
57.78,50.52,76.36,0,61.29
64.48,45.61,61.02,0,56.17
48.21,53.08,82.59,1,58.11
74.49,69.3,80.31,0,77.72
99.85,85.73,33.15,1,69.43
82.05,34.12,53.99,1,61.21
75.71,40.68,57.71,1,60.46
63.54,48.13,69.01,0,56.63
94.92,71.49,53.97,1,68.95
69.81,56.93,56.23,0,59.24
48.06,49.14,49.7,1,44.24
61.92,70.75,76.88,1,72.3
44.03,74.35,32.02,0,40.86
52.12,59.72,50.31,1,58.75
41.06,47.76,24.81,0,28.73
67.2,64.05,39.47,0,60.35
78.07,56.5,63.71,1,72.44
60.6,56.38,64.05,1,58.04
65.22,52.31,52.36,0,54.63
97.55,73.87,78.23,1,85.32
85.12,63.75,82.37,0,73.82
72.45,75.54,56.75,1,63.93
57.07,80.04,62.51,0,69.4
93.82,66.88,49.85,0,63.9
54.11,52.4,69.28,1,60.53
59.52,75.6,36.51,1,56.09
94.54,66.98,90.33,1,84.87
71.77,99.05,78.52,0,79.95
84.54,64.65,36.42,0,62.73
75.44,70.47,43.8,1,63.42
79.21,64.36,65.58,0,64.51
57.96,58.51,51.91,1,59.45
54.48,56.12,67.8,0,53.49
59.35,64.41,51.53,0,64.47
49.33,67.82,85.45,0,58.98
92.46,77.32,58.15,0,70.17
56.99,64.63,100.0,1,72.71
73.69,53.06,68.85,0,61.81
87.52,55.1,33.71,1,62.41
87.03,40.16,95.56,0,64.61
66.3,84.92,77.78,0,73.2
68.58,51.88,64.84,0,58.61
99.68,74.51,69.64,0,82.8
80.48,64.15,36.6,0,61.97
88.88,64.56,25.52,0,63.27
94.15,58.24,57.25,0,65.47
87.26,48.18,82.82,0,73.2
51.11,45.47,65.12,0,57.16
73.73,85.93,88.77,0,83.0
46.11,61.71,81.78,0,57.12
79.18,76.88,58.37,0,66.64
97.32,80.77,79.31,0,88.63
70.76,53.84,85.41,1,68.29
65.98,66.35,56.56,0,63.41
42.15,60.68,54.15,1,50.05
97.59,42.64,60.53,0,55.77
46.18,57.22,20.0,0,33.58
42.46,68.81,63.05,1,53.99
54.76,52.51,70.97,0,56.98
43.93,55.13,60.6,0,44.45
67.31,57.4,64.2,1,69.37
70.97,91.67,57.22,1,71.93
58.75,32.49,22.05,1,34.08
43.06,67.52,87.93,0,54.96
46.7,56.2,51.38,0,45.92
63.07,50.39,46.88,0,54.85
43.63,55.83,82.44,1,56.78
81.89,70.01,75.62,0,75.91
52.42,70.87,62.92,1,65.43
58.12,62.79,71.85,1,63.37
63.65,76.39,37.21,1,57.82
65.0,79.03,56.54,0,60.7
40.1,72.25,81.31,1,58.46
46.72,51.81,45.81,1,45.76
91.77,67.42,40.03,1,67.02
40.07,67.49,59.41,1,51.08
70.49,47.77,59.84,1,55.0
69.37,36.46,69.66,1,67.91
59.99,29.66,33.19,0,35.42
65.88,61.05,20.0,1,51.65
86.83,64.47,74.58,1,78.09
90.47,42.27,38.51,1,55.9
55.62,75.69,47.02,1,59.05
59.35,62.28,20.0,0,50.24
54.55,80.24,76.41,1,67.19
68.79,65.56,64.31,1,73.87
81.0,44.0,63.58,0,59.67
53.7,66.87,63.46,1,62.36
59.84,70.05,20.92,1,47.69
95.82,51.79,40.27,0,53.61
42.91,38.37,49.87,0,34.56
67.65,61.5,44.52,1,66.71
82.69,44.99,53.11,1,60.13
49.03,76.81,62.43,0,56.06
42.84,53.89,76.12,1,53.07
48.29,85.87,31.36,1,61.07
95.13,28.14,57.84,0,52.56
40.56,62.02,70.81,0,55.71
51.3,81.44,41.37,0,57.09
41.88,46.65,54.53,0,36.24
46.64,57.61,66.4,0,47.65
77.21,53.95,58.2,0,59.43
54.5,49.74,70.14,1,61.32
74.15,63.67,59.7,1,56.85
75.41,40.57,52.39,1,56.08
90.97,58.34,36.89,1,59.08
